face_images,valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,emotional_intensity_slider.response,emotional_intensity_slider.rt,familiarity_slider.response,familiarity_slider.rt,emotion_express_slider.response,emotion_express_slider.rt
images/5n.tiff,3.0,12.680332999996608,1.0,16.85210729998653,2.0,19.29232080001384,4.0,24.33204450001358,3.0,30.27541440000641
images/5.tiff,1.0,4.623136599984719,1.0,8.599577200016938,5.0,11.36050010001054,1.0,16.03376710001612,2.0,18.13056770002004
images/4n.tiff,4.0,3.6917186000209767,1.0,5.843027199996868,4.0,8.723684700002195,5.0,12.063301599991972,4.0,14.76081060001161
images/18h.tiff,5.0,2.520576799986884,4.0,6.844896900001913,6.0,9.858934599993518,6.0,11.99832789998618,1.0,14.20219989999896
images/10.tiff,1.0,3.146521600021515,1.0,6.218470000021625,6.0,14.817087799980072,2.0,21.18221969998558,2.0,26.878288200008683
images/4h.tiff,5.0,2.4666625000245403,3.0,5.232719599996926,5.0,8.286773999978323,6.0,9.907125700003236,1.0,11.910654100007378
images/18.tiff,1.0,2.825829500012333,1.0,5.19103030001861,6.0,8.485196499997983,1.0,11.412600799987558,2.0,13.109258000011325
images/10h.tiff,5.0,2.439940899988869,3.0,10.324020400003064,5.0,13.337949700013269,5.0,18.463988800009247,1.0,20.534193700004835
images/4.tiff,1.0,2.1873562000109814,1.0,5.339111800014507,5.0,7.566634600021644,2.0,11.613262600003509,2.0,13.856489799974952
images/5h.tiff,5.0,4.239142799982801,4.0,6.377913099975558,6.0,8.886170700017828,6.0,11.83991869998863,1.0,14.443124099983834
images/10n.tiff,4.0,4.159088600019459,1.0,7.977962499979185,4.0,29.73197030002484,5.0,37.31031770000118,3.0,39.31386850000126
images/18n.tiff,2.0,2.773057899990817,2.0,5.658115099999122,4.0,7.8995568999962416,3.0,11.585638599994128,3.0,13.655849200004011
