face_images,valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,emotional_intensity_slider.response,emotional_intensity_slider.rt,familiarity_slider.response,familiarity_slider.rt,emotion_express_slider.response,emotion_express_slider.rt
images/5.tiff,2.0,16.309919500000092,3.0,33.61904169999991,6.0,53.40205619999995,5.0,69.55448890000002,2.0,75.40909480000005
images/4h.tiff,7.0,6.197742700000049,6.0,22.156132599999975,6.0,27.32977859999994,5.0,30.759242500000028,1.0,33.41937160000009
images/18.tiff,3.0,8.490510099999938,6.0,14.602914899999972,6.0,25.27461120000009,6.0,27.83820030000004,4.0,34.947365500000046
images/10.tiff,2.0,14.842169600000034,7.0,23.25416159999997,6.0,28.927766700000006,6.0,30.724568800000043,2.0,34.28557360000002
images/4n.tiff,4.0,8.041886100000056,4.0,13.488014900000053,4.0,17.711459600000012,4.0,18.75889309999991,3.0,21.852935600000023
images/5n.tiff,3.0,9.430912899999951,7.0,13.59452250000004,7.0,17.734833900000012,6.0,19.96561940000004,2.0,25.35585470000001
images/10h.tiff,7.0,10.04121269999996,7.0,23.318028700000013,6.0,30.17411519999996,6.0,31.221817200000032,1.0,33.28270239999995
images/18h.tiff,7.0,7.343617699999982,6.0,12.45666970000002,6.0,15.830672999999932,6.0,20.2103568,1.0,25.334692399999994
images/10n.tiff,4.0,14.056010900000048,3.0,19.53761559999998,5.0,24.860326900000015,5.0,26.67349710000008,4.0,31.382795200000032
images/4.tiff,1.0,6.875480399999901,3.0,15.16440590000002,7.0,21.686710500000004,6.0,23.61745929999995,2.0,27.991725299999985
images/5h.tiff,7.0,3.3599261999999044,7.0,5.92409930000008,7.0,14.479992800000105,6.0,16.760629400000084,1.0,21.27068499999996
images/18n.tiff,4.0,4.845952900000043,3.0,12.03692030000002,5.0,19.20959429999993,5.0,20.39119459999995,3.0,23.35158059999992
