face_images,valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,emotional_intensity_slider.response,emotional_intensity_slider.rt,familiarity_slider.response,familiarity_slider.rt,emotion_express_slider.response,emotion_express_slider.rt
images/5h.tiff,2.0,18.91569880000316,6.0,27.669501900003524,6.0,41.770263800019166,7.0,46.620631799974944,1.0,52.1886697000009
images/4.tiff,3.0,14.20755530000315,3.0,30.92777459998615,5.0,36.0067908000201,7.0,39.02736509998795,2.0,42.97719159998815
images/18.tiff,2.0,12.516184599982807,3.0,18.906600899994373,7.0,24.653261600004043,7.0,26.16727049998008,2.0,30.170709500001976
images/18h.tiff,7.0,5.039572100009536,6.0,8.124481300008483,7.0,12.018067099998008,7.0,13.319063899980392,1.0,16.802077399974223
images/4h.tiff,7.0,5.90592160000233,7.0,9.031157600024017,7.0,22.00099910001154,7.0,22.994132699997863,1.0,25.29142239998328
images/10.tiff,3.0,12.96972990001086,3.0,17.34793129999889,6.0,49.03260559999035,6.0,52.41286139999284,2.0,56.642457799986005
images/5n.tiff,1.0,3.906035899999552,3.0,8.33809000000474,7.0,12.804844199999934,7.0,16.638104699988617,2.0,19.494448699988425
images/18n.tiff,4.0,5.19706999999471,4.0,8.414723399997456,4.0,10.8829415999935,4.0,11.943545799993444,3.0,14.373488200013526
images/10n.tiff,5.0,5.584453100018436,5.0,7.641419199993834,6.0,11.027943299995968,6.0,12.30141429998912,3.0,14.397496100020362
images/5.tiff,1.0,2.3733229000063147,1.0,5.338930500001879,7.0,11.138323199993463,7.0,12.105947200005176,4.0,12.884506600006716
images/10h.tiff,7.0,2.9860549999866635,7.0,6.031155300006503,7.0,7.913159899995662,7.0,9.15967379999347,4.0,10.804646999982651
images/4n.tiff,4.0,7.810663200012641,4.0,10.589566999988165,4.0,12.297844299988355,4.0,13.95845060001011,3.0,15.868587300006766
