face_images,valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,emotional_intensity_slider.response,emotional_intensity_slider.rt,familiarity_slider.response,familiarity_slider.rt,emotion_express_slider.response,emotion_express_slider.rt
images/4.tiff,2.0,27.311410199999955,4.0,67.15173030000005,5.0,77.72259890000032,7.0,82.52956129999984,4.0,92.81423670000004
images/18h.tiff,6.0,17.17807529999982,6.0,24.10713159999977,5.0,132.64694800000007,7.0,135.0909376999998,1.0,140.26982259999977
images/5.tiff,1.0,8.81613470000002,7.0,12.862529099999849,7.0,17.402720600000066,7.0,19.316487699999925,2.0,21.110515700000175
images/4h.tiff,7.0,10.563186500000027,5.0,18.39191699999992,5.0,36.57766590000029,7.0,38.20855070000016,3.0,42.73474119999992
images/18n.tiff,4.0,15.494032699999934,5.0,19.250593499999923,4.0,23.84103610000011,7.0,25.85497769999984,3.0,28.73177889999988
images/10n.tiff,3.0,44.25628940000024,4.0,48.519715200000064,4.0,51.72718220000024,7.0,53.80776900000001,3.0,55.93519419999984
images/5n.tiff,4.0,4.714515600000141,4.0,11.32625250000001,2.0,20.848808899999767,6.0,25.94423610000013,3.0,28.638258100000257
images/5h.tiff,2.0,20.60868829999981,6.0,26.53285219999998,5.0,34.204730200000085,5.0,36.168940999999904,4.0,41.478285700000015
images/18.tiff,1.0,6.185943200000111,7.0,17.37889469999982,7.0,22.58563890000005,5.0,26.515400000000227,2.0,30.02614270000004
images/10h.tiff,7.0,9.93293289999974,6.0,12.296423600000251,6.0,16.52039620000005,6.0,18.301021199999923,1.0,20.34537550000005
images/4n.tiff,4.0,5.45137829999976,4.0,6.449078199999804,2.0,10.739304899999752,7.0,12.969830099999854,3.0,15.280473399999664
images/10.tiff,2.0,10.229649000000336,6.0,20.38656759999958,6.0,26.54309409999996,5.0,28.957173299999795,2.0,31.06796209999993
