face_images,valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,emotional_intensity_slider.response,emotional_intensity_slider.rt,familiarity_slider.response,familiarity_slider.rt,emotion_express_slider.response,emotion_express_slider.rt
images/4n.tiff,3.0,9.611617499991551,3.0,41.77397850000125,2.0,45.1189016999997,5.0,65.35378169998876,3.0,69.15144279999367
images/5n.tiff,1.0,3.452935699999216,1.0,5.0849855999986175,6.0,7.072456699999748,6.0,19.475570499998867,2.0,25.091638400001106
images/5h.tiff,6.0,3.699541399997543,5.0,8.183306000006269,6.0,10.784149900006014,6.0,17.483397000003606,1.0,19.18029029999161
images/10h.tiff,5.0,24.585888299989165,6.0,28.92326250000042,6.0,32.84347590000834,5.0,35.34367469999415,1.0,37.054086600008304
images/10n.tiff,4.0,4.240271799993934,3.0,9.21738620000542,4.0,12.40368689999741,3.0,15.0370760000078,3.0,17.388723900003242
images/18n.tiff,4.0,4.438261899995268,3.0,7.323306799997226,5.0,9.337170300001162,5.0,14.1836917999899,3.0,16.28090689999226
images/10.tiff,3.0,10.450812900002347,4.0,13.960283100008382,6.0,17.40092739999818,2.0,21.28762909999932,4.0,25.771390399997472
images/18.tiff,1.0,4.897504500011564,1.0,6.916321600001538,6.0,9.197075400006725,2.0,24.5994706999918,2.0,26.44357599999057
images/18h.tiff,6.0,5.272347299993271,5.0,7.024271899994346,6.0,9.092175199999474,5.0,10.686125399995944,1.0,13.609791899987613
images/4h.tiff,6.0,4.120257800008403,5.0,6.31208110001171,6.0,7.604574999990291,6.0,9.464891399999033,1.0,10.921812100001262
images/5.tiff,1.0,3.6053023999993457,2.0,4.411868299997877,1.0,5.479166600009194,2.0,7.377503800002159,2.0,10.32806270000583
images/4.tiff,1.0,1.7947372999915387,1.0,2.73302609998791,6.0,6.186865700001363,1.0,10.36671029998979,2.0,12.03773120000551
