face_images,valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,emotional_intensity_slider.response,emotional_intensity_slider.rt,familiarity_slider.response,familiarity_slider.rt,emotion_express_slider.response,emotion_express_slider.rt
images/4n.tiff,4.0,11.83437989999993,4.0,18.92843340000013,6.0,23.96728780000012,3.0,31.055622099999937,3.0,36.44234940000001
images/18n.tiff,3.0,10.302976899999976,5.0,21.10652950000008,5.0,23.69980429999987,3.0,40.1426421000001,2.0,50.66699700000004
images/4.tiff,2.0,8.691673600000058,6.0,11.6546194,6.0,37.73770520000016,6.0,47.89882740000007,2.0,50.44186879999984
images/5.tiff,2.0,6.337140399999953,6.0,9.04753770000002,5.0,12.05487220000009,5.0,16.118108900000152,2.0,18.89506110000002
images/18h.tiff,6.0,4.607831599999827,6.0,9.037617299999964,6.0,12.32871669999986,6.0,13.92498670000009,1.0,16.15270109999983
images/10h.tiff,6.0,3.935002700000041,6.0,9.356114599999728,6.0,10.564496399999824,6.0,11.44473939999989,1.0,13.955323900000169
images/5n.tiff,4.0,4.111648499999774,4.0,6.425870799999757,6.0,12.88212969999995,5.0,15.861891000000014,3.0,18.789189299999634
images/10.tiff,2.0,3.25486520000004,5.0,7.3987333000000035,5.0,15.20501970000032,5.0,16.882549299999937,2.0,18.676799200000005
images/10n.tiff,2.0,3.7739363000000594,5.0,7.217642000000069,5.0,10.824411500000224,4.0,13.504112300000088,4.0,22.66412219999984
images/4h.tiff,6.0,3.593148800000108,6.0,5.321576299999833,6.0,7.5646772999998575,6.0,8.695190000000366,1.0,10.82300770000029
images/5h.tiff,7.0,3.8275594000001543,7.0,5.641958599999725,7.0,7.217064299999947,7.0,9.081152900000234,4.0,11.458611999999905
images/18.tiff,2.0,6.275729800000136,6.0,9.28943049999998,6.0,11.364033800000016,2.0,13.344789799999944,2.0,15.272349400000166
