face_images,valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,emotional_intensity_slider.response,emotional_intensity_slider.rt,familiarity_slider.response,familiarity_slider.rt,emotion_express_slider.response,emotion_express_slider.rt
images/18n.tiff,4.0,11.716881200001808,2.0,32.64282480001566,4.0,39.40089350001654,3.0,41.56104329999653,3.0,44.66589319999912
images/18h.tiff,6.0,4.314568899979349,6.0,6.679823500016937,6.0,10.534023599990178,3.0,13.060780900006648,1.0,16.02066300000297
images/4h.tiff,5.0,4.186608900025021,5.0,6.871824900008505,4.0,13.178943799983244,3.0,15.0786408999993,4.0,20.588263500016183
images/5h.tiff,5.0,15.978579899994656,4.0,19.46356289999676,5.0,62.21114379999926,3.0,63.45868930002325,3.0,65.0887738999736
images/4n.tiff,4.0,5.3450361999857705,1.0,10.176336600008652,2.0,15.976331899990328,2.0,17.823491199989803,3.0,21.453427200001897
images/5n.tiff,4.0,8.500245500006713,2.0,10.092250500019873,3.0,11.800413799996022,1.0,17.83302379999077,4.0,20.85000959999161
images/10.tiff,3.0,27.655657600000268,3.0,32.15320149998297,4.0,35.647986500000115,2.0,39.34736819998943,2.0,40.77860330001568
images/5.tiff,2.0,13.716462000011234,2.0,21.82666049999534,2.0,34.62413360000937,2.0,36.97785680001834,2.0,40.04781019999064
images/10h.tiff,5.0,3.413131199980853,5.0,5.818572399992263,4.0,7.552741399995284,2.0,9.519830099976389,1.0,11.976575799984856
images/10n.tiff,4.0,3.0759104999888223,4.0,4.482253299996955,4.0,5.803319400001783,2.0,7.609695199993439,3.0,9.347378699982071
images/4.tiff,2.0,5.97257779998472,2.0,7.8189896999974735,5.0,10.792944099986926,3.0,12.533206299995072,2.0,13.670949499995912
images/18.tiff,3.0,12.753682699985802,3.0,17.7456401999807,4.0,23.879240499984007,3.0,25.286716100003105,2.0,26.26409499999136
