face_images_1,face_images_2,pos_1,pos_2,trials_30.thisRepN,trials_30.thisTrialN,trials_30.thisN,trials_30.thisIndex,main_1.thisRepN,main_1.thisTrialN,main_1.thisN,main_1.thisIndex,main_2.thisRepN,main_2.thisTrialN,main_2.thisN,main_2.thisIndex,main_3.thisRepN,main_3.thisTrialN,main_3.thisN,main_3.thisIndex,main_4.thisRepN,main_4.thisTrialN,main_4.thisN,main_4.thisIndex,thisRow.t,notes,Instruction.started,text_Welcome.started,key_space.started,Instruction.stopped,key_space.keys,key_space.rt,key_space.duration,gap.started,text_gap.started,gap.stopped,plus.started,plus__.started,plus.stopped,trial_30.started,image_1.started,image_2.started,trial_resp.started,image_1.stopped,image_2.stopped,trial_30.stopped,trial_resp.keys,trial_resp.rt,trial_resp.duration,text_gap.stopped,plus__.stopped,Instruction_1.started,text_instruct.started,space_resp.started,Instruction_1.stopped,space_resp.keys,space_resp.rt,space_resp.duration,gap_1.started,gap__1.started,gap__1.stopped,gap_1.stopped,plus_1.started,plus__1.started,plus__1.stopped,plus_1.stopped,Block_1.started,image_1_set_1.started,image_2_set_1.started,resp_1.started,image_1_set_1.stopped,image_2_set_1.stopped,Block_1.stopped,resp_1.keys,resp_1.rt,resp_1.duration,Instuct_2.started,text_block2.started,space_resp_2.started,Instuct_2.stopped,space_resp_2.keys,space_resp_2.rt,space_resp_2.duration,gap_2.started,gap__2.started,gap__2.stopped,gap_2.stopped,plus_2.started,plus__2.started,plus__2.stopped,plus_2.stopped,Block_2.started,image_1_set_2.started,image_2_set_2.started,resp_2.started,image_1_set_2.stopped,image_2_set_2.stopped,Block_2.stopped,resp_2.keys,resp_2.rt,resp_2.duration,Instruct_3.started,text_block3.started,space_resp_3.started,Instruct_3.stopped,space_resp_3.keys,space_resp_3.rt,space_resp_3.duration,gap_3.started,gap__3.started,gap__3.stopped,gap_3.stopped,plus_3.started,plus__3.started,plus__3.stopped,plus_3.stopped,Block_3.started,image_1_set_3.started,image_2_set_3.started,resp_3.started,image_1_set_3.stopped,image_2_set_3.stopped,Block_3.stopped,resp_3.keys,resp_3.rt,resp_3.duration,Instruct_4.started,text_block4.started,space_resp_4.started,Instruct_4.stopped,space_resp_4.keys,space_resp_4.rt,space_resp_4.duration,gap_4.started,gap__4.started,gap_4.stopped,plus_4.started,plus___4.started,plus_4.stopped,Block_4.started,image_1_set_4.started,image_2_set_4.started,resp_4.started,image_1_set_4.stopped,image_2_set_4.stopped,Block_4.stopped,resp_4.keys,resp_4.rt,resp_4.duration,gap__4.stopped,plus___4.stopped,end.started,text_3.started,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/10n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,9,9,24,,,,,,,,,,,,,,,,,173.5089344,,,,,,,,,173.49541919999996,173.5089344,173.99294749999996,173.99299330000002,174.0087699,174.19183789999994,174.19184779999995,174.20941739999995,174.20941739999995,174.20941739999995,174.70852080000003,174.70852080000003,175.82667039999995,['z'],[1.604154900000026],[None],174.0087699,174.20941739999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/10n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,10,10,8,,,,,,,,,,,,,,,,,175.84137329999993,,,,,,,,,175.82793079999993,175.84137329999993,176.32563409999995,176.32568250000003,176.34117499999996,176.52602410000003,176.5260738,176.54579829999994,176.54579829999994,176.54579829999994,177.05773059999996,177.05773059999996,178.15911160000002,['m'],[1.5960956000000124],[None],176.34117499999996,176.54579829999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/18n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,11,11,12,,,,,,,,,,,,,,,,,178.17404959999993,,,,,,,,,178.16033999999996,178.17404959999993,178.65817599999997,178.65822229999998,178.67382129999993,178.8581942,178.85824129999997,178.8806169,178.8806169,178.8806169,179.39020750000003,179.39020750000003,182.8742001,['m'],[3.981509800000026],[None],178.67382129999993,178.8806169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/18n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,12,12,29,,,,,,,,,,,,,,,,,182.88903379999994,,,,,,,,,182.87566269999996,182.88903379999994,183.3725559,183.37257759999994,183.38875179999997,183.5723013,183.57231099999996,183.58977679999992,183.58977679999992,183.58977679999992,184.0886817,184.0886817,186.97310620000002,['z'],[3.368394799999919],[None],183.38875179999997,183.58977679999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/5n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,13,13,6,,,,,,,,,,,,,,,,,186.9876873,,,,,,,,,186.97454479999993,186.9876873,187.47190719999998,187.47194659999997,187.48754619999994,187.67190920000002,187.67195509999993,187.69601789999996,187.69601789999996,187.69601789999996,188.20405019999993,188.20405019999993,189.22246779999995,['m'],[1.5177086999999574],[None],187.48754619999994,187.69601789999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/10n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,14,14,23,,,,,,,,,,,,,,,,,189.23699859999994,,,,,,,,,189.22380159999994,189.23699859999994,189.72110960000003,189.72115049999996,189.73682449999995,189.92110539999993,189.92115069999994,189.94570170000003,189.94570170000003,189.94570170000003,190.45336679999997,190.45336679999997,191.5715786,['m'],[1.6198504000000185],[None],189.73682449999995,189.94570170000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/10n.tiff,images/5n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,15,15,27,,,,,,,,,,,,,,,,,191.5859241,,,,,,,,,191.57281799999993,191.5859241,192.07056599999993,192.07064580000002,192.08606960000003,192.2703138,192.2703538,192.29359800000003,192.29359800000003,192.29359800000003,192.802568,192.802568,194.05404830000003,['m'],[1.7525824000000512],[None],192.08606960000003,192.29359800000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/4n.tiff,images/5n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,16,16,0,,,,,,,,,,,,,,,,,194.06874999999997,,,,,,,,,194.05548259999995,194.06874999999997,194.5521819,194.5521961,194.56843050000003,194.75202469999994,194.75203389999996,194.7694459,194.7694459,194.7694459,195.26840209999995,195.26840209999995,196.3866066,['m'],[1.6122344999999996],[None],194.56843050000003,194.7694459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/5n.tiff,images/5n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,17,17,7,,,,,,,,,,,,,,,,,196.40134949999998,,,,,,,,,196.3880367,196.40134949999998,196.88454080000002,196.88455259999995,196.90094419999997,197.0854311,197.08547579999998,197.10884549999997,197.10884549999997,197.10884549999997,197.6176873,197.6176873,198.73612009999994,['z'],[1.6248709999999846],[None],196.90094419999997,197.10884549999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
images/4n.tiff,images/5n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,18,18,16,,,,,,,,,,,,,,,,,198.75061850000003,,,,,,,,,198.73734359999997,198.75061850000003,199.23378799999995,199.23379949999998,199.25035959999997,199.4345808,199.43462159999996,199.45798689999998,199.45798689999998,199.45798689999998,199.96687560000004,199.96687560000004,200.95199989999998,['m'],[1.4916448000000173],[None],199.25035959999997,199.45798689999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320307,001,2024-07-30_13h16.21.027,final,2024.1.5,None,2024-07-30 13h16.25.135378 +0530,
