face_images_1,face_images_2,pos_1,pos_2,trials_30.thisRepN,trials_30.thisTrialN,trials_30.thisN,trials_30.thisIndex,main_1.thisRepN,main_1.thisTrialN,main_1.thisN,main_1.thisIndex,main_2.thisRepN,main_2.thisTrialN,main_2.thisN,main_2.thisIndex,main_3.thisRepN,main_3.thisTrialN,main_3.thisN,main_3.thisIndex,main_4.thisRepN,main_4.thisTrialN,main_4.thisN,main_4.thisIndex,thisRow.t,notes,Instruction.started,text_Welcome.started,key_space.started,Instruction.stopped,key_space.keys,key_space.rt,key_space.duration,gap.started,text_gap.started,gap.stopped,plus.started,plus__.started,plus.stopped,trial_30.started,image_1.started,image_2.started,trial_resp.started,image_1.stopped,image_2.stopped,trial_30.stopped,trial_resp.keys,trial_resp.rt,trial_resp.duration,text_gap.stopped,plus__.stopped,Instruction_1.started,text_instruct.started,space_resp.started,Instruction_1.stopped,space_resp.keys,space_resp.rt,space_resp.duration,gap_1.started,gap__1.started,gap_1.stopped,plus_1.started,plus__1.started,plus_1.stopped,Block_1.started,image_1_set_1.started,image_2_set_1.started,resp_1.started,image_1_set_1.stopped,image_2_set_1.stopped,Block_1.stopped,resp_1.keys,resp_1.rt,resp_1.duration,gap__1.stopped,plus__1.stopped,Instuct_2.started,text_block2.started,space_resp_2.started,Instuct_2.stopped,space_resp_2.keys,space_resp_2.rt,space_resp_2.duration,gap_2.started,gap__2.started,gap_2.stopped,plus_2.started,plus__2.started,plus_2.stopped,Block_2.started,image_1_set_2.started,image_2_set_2.started,resp_2.started,image_1_set_2.stopped,image_2_set_2.stopped,Block_2.stopped,resp_2.keys,resp_2.rt,resp_2.duration,gap__2.stopped,plus__2.stopped,Instruct_3.started,text_block3.started,space_resp_3.started,Instruct_3.stopped,space_resp_3.keys,space_resp_3.rt,space_resp_3.duration,gap_3.started,gap__3.started,gap_3.stopped,plus_3.started,plus__3.started,plus_3.stopped,Block_3.started,image_1_set_3.started,image_2_set_3.started,resp_3.started,image_1_set_3.stopped,image_2_set_3.stopped,Block_3.stopped,resp_3.keys,resp_3.rt,resp_3.duration,gap__3.stopped,plus__3.stopped,Instruct_4.started,text_block4.started,space_resp_4.started,Instruct_4.stopped,space_resp_4.keys,space_resp_4.rt,space_resp_4.duration,gap_4.started,gap__4.started,gap_4.stopped,plus_4.started,plus___4.started,plus_4.stopped,Block_4.started,image_1_set_4.started,image_2_set_4.started,resp_4.started,image_1_set_4.stopped,image_2_set_4.stopped,Block_4.stopped,resp_4.keys,resp_4.rt,resp_4.duration,gap__4.stopped,plus___4.stopped,end.started,text_3.started,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/5n.tiff,images/5n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,9,9,7,,,,,,,,,,,,,,,,,36.56491970000002,,,,,,,,,36.55235990000003,36.56491970000002,37.04922910000002,37.049274500000024,37.06480160000001,37.24906720000001,37.249112500000024,37.27115420000001,37.27115420000001,37.27115420000001,37.78072610000001,37.78072610000001,38.56647910000004,['z'],[1.293343899999968],[None],37.06480160000001,37.27115420000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958162,001,2024-08-01_10h03.11.420,final,2024.1.5,None,2024-08-01 10h03.17.721136 +0530,
images/10n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,10,10,8,,,,,,,,,,,,,,,,,38.58067840000001,,,,,,,,,38.56782659999999,38.58067840000001,39.06498780000004,39.06502840000002,39.080705300000034,39.26498220000002,39.265024900000014,39.286800400000004,39.286800400000004,39.286800400000004,39.797209699999996,39.797209699999996,40.26571100000001,['m'],[0.9651020000000017],[None],39.080705300000034,39.286800400000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958162,001,2024-08-01_10h03.11.420,final,2024.1.5,None,2024-08-01 10h03.17.721136 +0530,
images/5n.tiff,images/5n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,11,11,22,,,,,,,,,,,,,,,,,40.280328999999995,,,,,,,,,40.26715920000004,40.280328999999995,40.76447840000003,40.764538200000004,40.78012190000004,40.96455309999999,40.96460139999999,40.98516310000002,40.98516310000002,40.98516310000002,41.496662000000015,41.496662000000015,41.981419800000026,['z'],[0.9870974999999476],[None],40.78012190000004,40.98516310000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958162,001,2024-08-01_10h03.11.420,final,2024.1.5,None,2024-08-01 10h03.17.721136 +0530,
images/5n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,12,12,20,,,,,,,,,,,,,,,,,41.99644219999999,,,,,,,,,41.98281059999999,41.99644219999999,42.480555100000004,42.48059790000002,42.496328000000005,42.68052560000001,42.68057060000001,42.70149789999999,42.70149789999999,42.70149789999999,43.21276019999999,43.21276019999999,44.01445690000003,['m'],[1.3028305000000273],[None],42.496328000000005,42.70149789999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958162,001,2024-08-01_10h03.11.420,final,2024.1.5,None,2024-08-01 10h03.17.721136 +0530,
images/18n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,13,13,28,,,,,,,,,,,,,,,,,44.029073400000016,,,,,,,,,44.0158515,44.029073400000016,44.513319300000035,44.51336309999999,44.528933499999994,44.7132206,44.71326520000002,44.736201900000026,44.736201900000026,44.736201900000026,45.24544700000001,45.24544700000001,45.64699139999999,['m'],[0.8996108000000049],[None],44.528933499999994,44.736201900000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958162,001,2024-08-01_10h03.11.420,final,2024.1.5,None,2024-08-01 10h03.17.721136 +0530,
images/5n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,14,14,26,,,,,,,,,,,,,,,,,45.66194010000004,,,,,,,,,45.64823960000001,45.66194010000004,46.146053600000016,46.14609390000004,46.1616176,46.34602319999999,46.346068100000025,46.36705169999999,46.36705169999999,46.36705169999999,46.87813600000004,46.87813600000004,47.28015730000004,['m'],[0.9089594000000147],[None],46.1616176,46.36705169999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958162,001,2024-08-01_10h03.11.420,final,2024.1.5,None,2024-08-01 10h03.17.721136 +0530,
images/4n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,15,15,17,,,,,,,,,,,,,,,,,47.29476579999999,,,,,,,,,47.28140719999999,47.29476579999999,47.77883919999999,47.778884500000004,47.79456859999999,47.97872960000001,47.97877220000004,48.00067469999999,48.00067469999999,48.00067469999999,48.51100339999999,48.51100339999999,48.97768810000002,['m'],[0.9638577000000055],[None],47.79456859999999,48.00067469999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958162,001,2024-08-01_10h03.11.420,final,2024.1.5,None,2024-08-01 10h03.17.721136 +0530,
images/5n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,16,16,5,,,,,,,,,,,,,,,,,48.993956300000036,,,,,,,,,48.9781193,48.993956300000036,49.47729390000001,49.47730899999999,49.49370540000001,49.678111400000034,49.67815580000001,49.7009764,49.7009764,49.7009764,50.21046970000003,50.21046970000003,50.628857900000014,['z'],[0.919754399999988],[None],49.49370540000001,49.7009764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958162,001,2024-08-01_10h03.11.420,final,2024.1.5,None,2024-08-01 10h03.17.721136 +0530,
images/18n.tiff,images/5n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,17,17,13,,,,,,,,,,,,,,,,,50.64364280000001,,,,,,,,,50.63041880000003,50.64364280000001,51.12774910000002,51.12780889999999,51.143520300000034,51.32767960000001,51.32772349999999,51.350931600000024,51.350931600000024,51.350931600000024,51.8599519,51.8599519,52.42826790000004,['m'],[1.0694949999999608],[None],51.143520300000034,51.350931600000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958162,001,2024-08-01_10h03.11.420,final,2024.1.5,None,2024-08-01 10h03.17.721136 +0530,
images/4n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,18,18,3,,,,,,,,,,,,,,,,,52.442963099999986,,,,,,,,,52.42977669999999,52.442963099999986,52.927164000000005,52.92721399999999,52.9429212,53.12711610000002,53.127165700000035,53.14980360000004,53.14980360000004,53.14980360000004,53.65936679999999,53.65936679999999,54.87748650000003,['z'],[1.718594200000041],[None],52.9429212,53.14980360000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958162,001,2024-08-01_10h03.11.420,final,2024.1.5,None,2024-08-01 10h03.17.721136 +0530,
