face_images_1,face_images_2,pos_1,pos_2,trials_30.thisRepN,trials_30.thisTrialN,trials_30.thisN,trials_30.thisIndex,main_1.thisRepN,main_1.thisTrialN,main_1.thisN,main_1.thisIndex,main_2.thisRepN,main_2.thisTrialN,main_2.thisN,main_2.thisIndex,main_3.thisRepN,main_3.thisTrialN,main_3.thisN,main_3.thisIndex,main_4.thisRepN,main_4.thisTrialN,main_4.thisN,main_4.thisIndex,thisRow.t,notes,Instruction.started,text_Welcome.started,key_space.started,Instruction.stopped,key_space.keys,key_space.rt,key_space.duration,gap.started,text_gap.started,gap.stopped,plus.started,plus__.started,plus.stopped,trial_30.started,image_1.started,image_2.started,trial_resp.started,trial_30.stopped,trial_resp.keys,trial_resp.rt,trial_resp.duration,image_1.stopped,image_2.stopped,Instruction_1.started,text_instruct.started,space_resp.started,Instruction_1.stopped,space_resp.keys,space_resp.rt,space_resp.duration,gap_1.started,gap__1.started,gap_1.stopped,plus_1.started,plus__1.started,plus_1.stopped,Block_1.started,image_1_set_1.started,image_2_set_1.started,resp_1.started,Block_1.stopped,resp_1.keys,resp_1.rt,resp_1.duration,image_1_set_1.stopped,image_2_set_1.stopped,Instuct_2.started,text_block2.started,space_resp_2.started,Instuct_2.stopped,space_resp_2.keys,space_resp_2.rt,space_resp_2.duration,gap_2.started,gap__2.started,gap_2.stopped,plus_2.started,plus__2.started,plus_2.stopped,Block_2.started,image_1_set_2.started,image_2_set_2.started,resp_2.started,image_1_set_2.stopped,image_2_set_2.stopped,Block_2.stopped,resp_2.keys,resp_2.rt,resp_2.duration,Instruct_3.started,text_block3.started,space_resp_3.started,Instruct_3.stopped,space_resp_3.keys,space_resp_3.rt,space_resp_3.duration,gap_3.started,gap__3.started,gap_3.stopped,plus_3.started,plus__3.started,plus_3.stopped,Block_3.started,image_1_set_3.started,image_2_set_3.started,resp_3.started,image_1_set_3.stopped,image_2_set_3.stopped,Block_3.stopped,resp_3.keys,resp_3.rt,resp_3.duration,Instruct_4.started,text_block4.started,space_resp_4.started,Instruct_4.stopped,space_resp_4.keys,space_resp_4.rt,space_resp_4.duration,gap_4.started,gap__4.started,gap_4.stopped,plus_4.started,plus___4.started,plus_4.stopped,Block_4.started,image_1_set_4.started,image_2_set_4.started,resp_4.started,image_1_set_4.stopped,image_2_set_4.stopped,Block_4.stopped,resp_4.keys,resp_4.rt,resp_4.duration,end.started,text_3.started,text_3.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/4n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,9,9,1,,,,,,,,,,,,,,,,,19.21246070000052,,,,,,,,,19.201990700006718,19.21246070000052,19.705867700002273,19.705898300002445,19.719128299999284,19.905605200008722,19.905633700007456,19.927737100006198,19.927737100006198,19.927737100006198,20.33473159999994,['m'],[0.4047028999921167],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/5n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,10,10,21,,,,,,,,,,,,,,,,,20.34519530000398,,,,,,,,,20.335493000005954,20.34519530000398,20.83880379999755,20.838832900000853,20.8519568000047,21.038775399996666,21.038803900009952,21.056915499997558,21.056915499997558,21.056915499997558,21.480082399997627,['m'],[0.41055129999585915],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/10n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,11,11,8,,,,,,,,,,,,,,,,,21.491725800005952,,,,,,,,,21.481050200003665,21.491725800005952,21.985181700001704,21.985213599997223,21.99824680000893,22.184933399999863,22.184961799997836,22.202994100007345,22.202994100007345,22.202994100007345,22.599662599997828,['m'],[0.39269180000701454],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/5n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,12,12,4,,,,,,,,,,,,,,,,,22.611255099996924,,,,,,,,,22.6003275999974,22.611255099996924,23.10463499999605,23.104667799998424,23.1178871000011,23.304656699998304,23.304682400004822,23.322091900001396,23.322091900001396,23.322091900001396,23.773533300001873,['m'],[0.44957939999585506],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/4n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,13,13,18,,,,,,,,,,,,,,,,,23.784173599997303,,,,,,,,,23.774468200004776,23.784173599997303,24.27779800001008,24.277830500010168,24.29098299999896,24.477820600004634,24.477851600007853,24.498700900003314,24.498700900003314,24.498700900003314,25.051252300007036,['m'],[0.5455762000055984],[None],24.997324399999343,24.997324399999343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/5n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,14,14,20,,,,,,,,,,,,,,,,,25.06377940000675,,,,,,,,,25.051703400007682,25.06377940000675,25.55730690000928,25.557336900004884,25.57039110000187,25.7571847000072,25.757214199998998,25.776276700009475,25.776276700009475,25.776276700009475,26.224827099998947,['m'],[0.44339849999232683],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/18n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,15,15,12,,,,,,,,,,,,,,,,,26.236776300007477,,,,,,,,,26.225467299998854,26.236776300007477,26.730149600000004,26.730178400001023,26.743219700001646,26.93012479999743,26.93015600000217,26.950770499999635,26.950770499999635,26.950770499999635,27.424780200002715,['m'],[0.4615316000126768],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/10n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,16,16,11,,,,,,,,,,,,,,,,,27.436433599999873,,,,,,,,,27.425624700001208,27.436433599999873,27.92978390000644,27.929866400008905,27.94284940000216,28.129763600009028,28.12979269999778,28.147790900009568,28.147790900009568,28.147790900009568,28.544372700009262,['m'],[0.3921840999973938],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/4n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,17,17,19,,,,,,,,,,,,,,,,,28.556148600007873,,,,,,,,,28.545105900004273,28.556148600007873,29.04937590000918,29.049408799997764,29.062673899999936,29.249368000004324,29.249397799998405,29.268499199999496,29.268499199999496,29.268499199999496,29.703181500008213,['m'],[0.42366990000300575],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
images/18n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,18,18,14,,,,,,,,,,,,,,,,,29.71560789999785,,,,,,,,,29.703535100008594,29.71560789999785,30.209099700005027,30.20912739999767,30.22203520000039,30.409082500002114,30.409129100007704,30.428628000008757,30.428628000008757,30.428628000008757,30.810381000002963,['z'],[0.3747931999969296],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340808,001,2024-08-01_15h36.14.492,final,2024.1.5,None,2024-08-01 15h36.17.654286 +0530,
