face_images_1,face_images_2,trial_resp.keys,trial_resp.rt,resp_1.keys,resp_1.rt,resp_2.keys,resp_2.rt,resp_3.keys,resp_3.rt,resp_4.keys,resp_4.rt
images/5n.tiff,images/10n.tiff,,,['m'],[1.5356320999999298],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.2854171999999835],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.477170000000001],,,,,,
images/10n.tiff,images/5n.tiff,,,['m'],[1.2515642000000753],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.3258740999999645],,,,,,
images/5n.tiff,images/10n.tiff,,,['m'],[1.2518158999999969],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.286091899999974],,,,,,
images/5n.tiff,images/10n.tiff,,,['m'],[1.8528478000000632],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[1.3673071000000618],,,,,,
images/10n.tiff,images/10n.tiff,,,['z'],[2.0700144999999566],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.301679599999943],,,,,,
images/10n.tiff,images/5n.tiff,,,['m'],[1.3175260000000435],,,,,,
images/5n.tiff,images/5n.tiff,,,['z'],[1.5243272999999817],,,,,,
,,,,,,,,,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.815048000000047],,,,
images/18n.tiff,images/4n.tiff,,,,,['m'],[1.715075899999988],,,,
images/4n.tiff,images/18n.tiff,,,,,['m'],[1.7708291000000145],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[1.5091125000000147],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[1.548519199999987],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.2721203999999489],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[4.6183628],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[2.086259499999983],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.5751003999999966],,,,
images/4n.tiff,images/18n.tiff,,,,,['m'],[1.205343599999992],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.3269675000000234],,,,
images/18n.tiff,images/4n.tiff,,,,,['m'],[4.614955800000075],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[1.401923399999987],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.381077600000026],,,,
images/4n.tiff,images/18n.tiff,,,,,['m'],[1.4244840999999724],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.6910910000000285],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[1.7774752999999919],,,,
images/18n.tiff,images/4n.tiff,,,,,['m'],[2.0558403],,,,
images/18n.tiff,images/4n.tiff,,,,,['m'],[1.601137900000026],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[1.5072582999999895],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[1.7327390000000378],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.9551291999999876],,,,
images/4n.tiff,images/18n.tiff,,,,,['m'],[1.5042574999999943],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.4710721000000149],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[1.2484410999999227],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[2.016283499999986],,,,
images/4n.tiff,images/18n.tiff,,,,,['m'],[1.2641897000000881],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.6365296000000171],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.511148300000059],,,,
images/18n.tiff,images/4n.tiff,,,,,['m'],[1.7272104999999556],,,,
images/18n.tiff,images/4n.tiff,,,,,['m'],[1.6027073999999857],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.817692299999976],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[2.1558092000000215],,,,
images/4n.tiff,images/18n.tiff,,,,,['m'],[1.4319221000000653],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[1.5784224999999878],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[2.8388314999999693],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[1.5022837999999865],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[2.790429099999983],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.3486787000000504],,,,
images/18n.tiff,images/4n.tiff,,,,,['m'],[1.8577527999999575],,,,
images/4n.tiff,images/18n.tiff,,,,,['m'],[1.1874981000000844],,,,
images/18n.tiff,images/18n.tiff,,,,,['m'],[2.165401299999985],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[3.147543799999994],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[4.986187399999949],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.5660921000000485],,,,
images/4n.tiff,images/18n.tiff,,,,,['m'],[1.2446133000000827],,,,
images/18n.tiff,images/4n.tiff,,,,,['z'],[1.451387000000068],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[1.4051830000000791],,,,
images/4n.tiff,images/18n.tiff,,,,,['m'],[2.400191000000177],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[1.55791360000012],,,,
images/18n.tiff,images/4n.tiff,,,,,['m'],[1.3397240000001602],,,,
images/18n.tiff,images/18n.tiff,,,,,['z'],[2.7051137999999355],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[1.3038122000000385],,,,
images/4n.tiff,images/4n.tiff,,,,,['z'],[2.6809204000001046],,,,
images/18n.tiff,images/4n.tiff,,,,,['m'],[2.223640800000112],,,,
