face_images_1,face_images_2,pos_1,pos_2,trials_30.thisRepN,trials_30.thisTrialN,trials_30.thisN,trials_30.thisIndex,main_1.thisRepN,main_1.thisTrialN,main_1.thisN,main_1.thisIndex,main_2.thisRepN,main_2.thisTrialN,main_2.thisN,main_2.thisIndex,main_3.thisRepN,main_3.thisTrialN,main_3.thisN,main_3.thisIndex,main_4.thisRepN,main_4.thisTrialN,main_4.thisN,main_4.thisIndex,thisRow.t,notes,Instruction.started,text_Welcome.started,key_space.started,Instruction.stopped,key_space.keys,key_space.rt,key_space.duration,gap.started,text_gap.started,gap.stopped,plus.started,plus__.started,plus.stopped,trial_30.started,image_1.started,image_2.started,trial_resp.started,image_1.stopped,image_2.stopped,trial_30.stopped,trial_resp.keys,trial_resp.rt,trial_resp.duration,Instruction_1.started,text_instruct.started,space_resp.started,Instruction_1.stopped,space_resp.keys,space_resp.rt,space_resp.duration,gap_1.started,gap__1.started,gap_1.stopped,plus_1.started,plus__1.started,plus_1.stopped,Block_1.started,image_1_set_1.started,image_2_set_1.started,resp_1.started,image_1_set_1.stopped,image_2_set_1.stopped,Block_1.stopped,resp_1.keys,resp_1.rt,resp_1.duration,Instuct_2.started,text_block2.started,space_resp_2.started,Instuct_2.stopped,space_resp_2.keys,space_resp_2.rt,space_resp_2.duration,gap_2.started,gap__2.started,gap_2.stopped,plus_2.started,plus__2.started,plus_2.stopped,Block_2.started,image_1_set_2.started,image_2_set_2.started,resp_2.started,image_1_set_2.stopped,image_2_set_2.stopped,Block_2.stopped,resp_2.keys,resp_2.rt,resp_2.duration,Instruct_3.started,text_block3.started,space_resp_3.started,Instruct_3.stopped,space_resp_3.keys,space_resp_3.rt,space_resp_3.duration,gap_3.started,gap__3.started,gap_3.stopped,plus_3.started,plus__3.started,plus_3.stopped,Block_3.started,image_1_set_3.started,image_2_set_3.started,resp_3.started,image_1_set_3.stopped,image_2_set_3.stopped,Block_3.stopped,resp_3.keys,resp_3.rt,resp_3.duration,Instruct_4.started,text_block4.started,space_resp_4.started,Instruct_4.stopped,space_resp_4.keys,space_resp_4.rt,space_resp_4.duration,gap_4.started,gap__4.started,gap_4.stopped,plus_4.started,plus___4.started,plus_4.stopped,Block_4.started,image_1_set_4.started,image_2_set_4.started,resp_4.started,image_1_set_4.stopped,image_2_set_4.stopped,Block_4.stopped,resp_4.keys,resp_4.rt,resp_4.duration,end.started,text_3.started,text_3.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/18n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,9,9,29,,,,,,,,,,,,,,,,,43.36773890000768,,,,,,,,,43.35623839998152,43.36773890000768,43.86127599992324,43.86130949994549,43.874465800006874,44.061271899961866,44.06130099995062,44.07982669991907,44.07982669991907,44.07982669991907,44.580807799939066,44.580807799939066,45.195503299939446,['m'],[1.109791100025177],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/4n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,10,10,2,,,,,,,,,,,,,,,,,45.207090899930336,,,,,,,,,45.19632529991213,45.207090899930336,45.700795399956405,45.700827499968,45.713930399972014,45.900939099956304,45.900969899958,45.923316299915314,45.923316299915314,45.923316299915314,46.42048619990237,46.42048619990237,46.860879299929366,['m'],[0.9297694000415504],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/10n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,11,11,8,,,,,,,,,,,,,,,,,46.87337049993221,,,,,,,,,46.86128730000928,46.87337049993221,47.36661779996939,47.36663659999613,47.38010229996871,47.56676159997005,47.56679279997479,47.5902863999363,47.5902863999363,47.5902863999363,48.08626279991586,48.08626279991586,48.48683750000782,['m'],[0.8875895000528544],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/5n.tiff,images/18n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,12,12,6,,,,,,,,,,,,,,,,,48.49963639990892,,,,,,,,,48.48722579993773,48.49963639990892,48.99306419992354,48.99309619993437,49.005994999897666,49.192897100001574,49.192925499984995,49.21122179995291,49.21122179995291,49.21122179995291,49.71253539994359,49.71253539994359,50.00661759998184,['m'],[0.7861450000200421],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/4n.tiff,images/5n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,13,13,0,,,,,,,,,,,,,,,,,50.01928459992632,,,,,,,,,50.007296299911104,50.01928459992632,50.51258370000869,50.512613099999726,50.52554569998756,50.71239100000821,50.71241929999087,50.72976469993591,50.72976469993591,50.72976469993591,51.23225449991878,51.23225449991878,51.51263259991538,['m'],[0.7717269000131637],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/18n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,14,14,12,,,,,,,,,,,,,,,,,51.52513209998142,,,,,,,,,51.512959499959834,51.52513209998142,52.018751599942334,52.01878719998058,52.031881999922916,52.218611199990846,52.21863499993924,52.23636350000743,52.23636350000743,52.23636350000743,52.73828119994141,52.73828119994141,52.92725889990106,['m'],[0.6886889999732375],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/5n.tiff,images/5n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,15,15,22,,,,,,,,,,,,,,,,,52.93840509990696,,,,,,,,,52.92811919993255,52.93840509990696,53.43123069999274,53.43123999994714,53.44437289994676,53.63154069997836,53.63157379999757,53.650672899908386,53.650672899908386,53.650672899908386,54.15116709994618,54.15116709994618,54.498756199958734,['z'],[0.8422486999770626],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/4n.tiff,images/4n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,16,16,3,,,,,,,,,,,,,,,,,54.51103049993981,,,,,,,,,54.499540199991316,54.51103049993981,55.00440809992142,55.00444129994139,55.01747459999751,55.20417569996789,55.20420789998025,55.2253417999018,55.2253417999018,55.2253417999018,55.72379199997522,55.72379199997522,56.05868539994117,['z'],[0.8287028000922874],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/5n.tiff,images/10n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,17,17,5,,,,,,,,,,,,,,,,,56.0704059000127,,,,,,,,,56.05950999993365,56.0704059000127,56.563602500013076,56.56363699992653,56.57688790000975,56.76377209997736,56.763802999979816,56.7909855999751,56.7909855999751,56.7909855999751,57.296677400008775,57.296677400008775,57.59048419992905,['m'],[0.7906098999083042],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
images/10n.tiff,images/5n.tiff,"(0.3, 0.2)","(-0.3, 0.2)",0,18,18,9,,,,,,,,,,,,,,,,,57.6030692999484,,,,,,,,,57.59093449998181,57.6030692999484,58.096888699918054,58.09694269997999,58.109803700004704,58.29670800000895,58.296741399914026,58.31708039995283,58.31708039995283,58.31708039995283,58.81639119994361,58.81639119994361,59.19007979996968,['m'],[0.863943999982439],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950,001,2024-07-30_18h51.27.814,final,2024.1.5,None,2024-07-30 18h51.31.293271 +0530,
