face_images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,instruct_resp.started,instructions.stopped,instruct_resp.keys,instruct_resp.rt,instruct_resp.duration,trial.started,image.started,valence_text.started,valence_slider.started,valence_text.stopped,valence_slider.stopped,arousal_text.started,arousal_slider.started,arousal_text.stopped,arousal_slider.stopped,emo_intense_text.started,emotional_intensity_slider.started,emo_intense_text.stopped,emotional_intensity_slider.stopped,familiar_text.started,familiarity_slider.started,familiar_text.stopped,familiarity_slider.stopped,emo_express_text.started,emotion_express_slider.started,emo_express_text.stopped,trial.stopped,valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,emotional_intensity_slider.response,emotional_intensity_slider.rt,familiarity_slider.response,familiarity_slider.rt,emotion_express_slider.response,emotion_express_slider.rt,end.started,text_2.started,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.010320800000044983,0.012908199999856151,0.012908199999856151,9.219569800000045,space,9.193304199999602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439390,001,2024-08-03_10h19.23.919,2nd_exp,2024.1.5,None,2024-08-03 10h19.37.777939 +0530,
images/4.tiff,0,0,0,0,9.4113712999997,,,,,,,,,9.227126299999782,9.4113712999997,9.4113712999997,9.4113712999997,36.587013899999874,36.587013899999874,36.587013899999874,36.587013899999874,76.47399829999995,76.47399829999995,76.47399829999995,76.47399829999995,87.07034620000013,87.07034620000013,87.07034620000013,87.07034620000013,91.90542329999971,91.90542329999971,91.90542329999971,91.90542329999971,102.34587920000013,102.20446979999997,2.0,27.311410199999955,4.0,67.15173030000005,5.0,77.72259890000032,7.0,82.52956129999984,4.0,92.81423670000004,,,,439390,001,2024-08-03_10h19.23.919,2nd_exp,2024.1.5,None,2024-08-03 10h19.37.777939 +0530,
images/18h.tiff,0,1,1,10,102.34587920000013,,,,,,,,,102.20489240000006,102.34587920000013,102.34587920000013,102.34587920000013,119.42655699999978,119.42655699999978,119.42655699999978,119.42655699999978,126.3908980000001,126.3908980000001,126.3908980000001,126.3908980000001,234.95542429999978,234.95542429999978,234.95542429999978,234.95542429999978,237.42114429999992,237.42114429999992,237.42114429999992,237.42114429999992,242.765171,242.61786679999977,6.0,17.17807529999982,6.0,24.107131599999775,5.0,132.64694800000007,7.0,135.0909376999998,1.0,140.26982259999977,,,,439390,001,2024-08-03_10h19.23.919,2nd_exp,2024.1.5,None,2024-08-03 10h19.37.777939 +0530,
images/5.tiff,0,2,2,3,242.765171,,,,,,,,,242.61855659999992,242.765171,242.765171,242.765171,251.48347569999987,251.48347569999987,251.48347569999987,251.48347569999987,255.5653242999997,255.5653242999997,255.5653242999997,255.5653242999997,260.1304768,260.1304768,260.1304768,260.1304768,262.06548810000004,262.06548810000004,262.06548810000004,262.06548810000004,264.0265912,263.8771738999999,1.0,8.81613470000002,7.0,12.862529099999847,7.0,17.402720600000066,7.0,19.316487699999925,2.0,21.110515700000178,,,,439390,001,2024-08-03_10h19.23.919,2nd_exp,2024.1.5,None,2024-08-03 10h19.37.777939 +0530,
images/4h.tiff,0,3,3,1,264.0265912,,,,,,,,,263.87784839999995,264.0265912,264.0265912,264.0265912,274.4925169999997,274.4925169999997,274.4925169999997,274.4925169999997,282.3566916999998,282.3566916999998,282.3566916999998,282.3566916999998,300.5673895,300.5673895,300.5673895,300.5673895,302.2186607999997,302.2186607999997,302.2186607999997,302.2186607999997,306.9200020999997,306.7630138999998,7.0,10.563186500000029,5.0,18.39191699999992,5.0,36.577665900000284,7.0,38.20855070000016,3.0,42.73474119999992,,,,439390,001,2024-08-03_10h19.23.919,2nd_exp,2024.1.5,None,2024-08-03 10h19.37.777939 +0530,
images/18n.tiff,0,4,4,11,306.9200020999997,,,,,,,,,306.7636904000001,306.9200020999997,306.9200020999997,306.9200020999997,322.31018670000003,322.31018670000003,322.31018670000003,322.31018670000003,326.1088976000001,326.1088976000001,326.1088976000001,326.1088976000001,330.72413959999994,330.72413959999994,330.72413959999994,330.72413959999994,332.75926949999985,332.75926949999985,332.75926949999985,332.75926949999985,335.79875300000003,335.6533338999998,4.0,15.494032699999934,5.0,19.250593499999923,4.0,23.84103610000011,7.0,25.854977699999836,3.0,28.73177889999988,,,,439390,001,2024-08-03_10h19.23.919,2nd_exp,2024.1.5,None,2024-08-03 10h19.37.777939 +0530,
images/10n.tiff,0,5,5,8,335.79875300000003,,,,,,,,,335.6539807999998,335.79875300000003,335.79875300000003,335.79875300000003,379.95796949999976,379.95796949999976,379.95796949999976,379.95796949999976,384.25669070000004,384.25669070000004,384.25669070000004,384.25669070000004,387.48882019999974,387.48882019999974,387.48882019999974,387.48882019999974,389.59058559999994,389.59058559999994,389.59058559999994,389.59058559999994,391.88627289999977,391.7353217,3.0,44.25628940000024,4.0,48.519715200000064,4.0,51.72718220000024,7.0,53.80776900000001,3.0,55.93519419999984,,,,439390,001,2024-08-03_10h19.23.919,2nd_exp,2024.1.5,None,2024-08-03 10h19.37.777939 +0530,
images/5n.tiff,0,6,6,5,391.88627289999977,,,,,,,,,391.7359782999997,391.88627289999977,391.88627289999977,391.88627289999977,396.50261279999995,396.50261279999995,396.50261279999995,396.50261279999995,403.1503660999997,403.1503660999997,403.1503660999997,403.1503660999997,412.69729929999994,412.69729929999994,412.69729929999994,412.69729929999994,417.8147764,417.8147764,417.8147764,417.8147764,420.68202329999986,420.5260478,4.0,4.714515600000141,4.0,11.32625250000001,2.0,20.848808899999767,6.0,25.944236100000126,3.0,28.638258100000257,,,,439390,001,2024-08-03_10h19.23.919,2nd_exp,2024.1.5,None,2024-08-03 10h19.37.777939 +0530,
images/5h.tiff,0,7,7,4,420.68202329999986,,,,,,,,,420.5267439999998,420.68202329999986,420.68202329999986,420.68202329999986,441.1879598999999,441.1879598999999,441.1879598999999,441.1879598999999,447.1526574999998,447.1526574999998,447.1526574999998,447.1526574999998,454.8501867,454.8501867,454.8501867,454.8501867,456.83458299999984,456.83458299999984,456.83458299999984,456.83458299999984,462.3081151000001,462.16267340000013,2.0,20.608688299999812,6.0,26.53285219999998,5.0,34.204730200000085,5.0,36.168940999999904,4.0,41.478285700000015,,,,439390,001,2024-08-03_10h19.23.919,2nd_exp,2024.1.5,None,2024-08-03 10h19.37.777939 +0530,
images/18.tiff,0,8,8,9,462.3081151000001,,,,,,,,,462.16337620000013,462.3081151000001,462.3081151000001,462.3081151000001,468.39573930000006,468.39573930000006,468.39573930000006,468.39573930000006,479.6254017000001,479.6254017000001,479.6254017000001,479.6254017000001,484.85696359999974,484.85696359999974,484.85696359999974,484.85696359999974,488.80736079999997,488.80736079999997,488.80736079999997,488.80736079999997,492.4817143,492.33582639999986,1.0,6.185943200000111,7.0,17.37889469999982,7.0,22.58563890000005,5.0,26.515400000000227,2.0,30.026142700000037,,,,439390,001,2024-08-03_10h19.23.919,2nd_exp,2024.1.5,None,2024-08-03 10h19.37.777939 +0530,
images/10h.tiff,0,9,9,7,492.4817143,,,,,,,,,492.3365077999997,492.4817143,492.4817143,492.4817143,502.3176338999997,502.3176338999997,502.3176338999997,502.3176338999997,504.7172636999999,504.7172636999999,504.7172636999999,504.7172636999999,508.96586739999975,508.96586739999975,508.96586739999975,508.96586739999975,510.76762469999994,510.76762469999994,510.76762469999994,510.76762469999994,512.9746720999997,512.8294044999998,7.0,9.932932899999741,6.0,12.296423600000253,6.0,16.52039620000005,6.0,18.301021199999923,1.0,20.345375500000046,,,,439390,001,2024-08-03_10h19.23.919,2nd_exp,2024.1.5,None,2024-08-03 10h19.37.777939 +0530,
