face_images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,instruct_resp.started,instructions.stopped,instruct_resp.keys,instruct_resp.rt,instruct_resp.duration,trial.started,image.started,valence_text.started,valence_slider.started,valence_text.stopped,valence_slider.stopped,arousal_text.started,arousal_slider.started,arousal_text.stopped,arousal_slider.stopped,emo_intense_text.started,emotional_intensity_slider.started,emo_intense_text.stopped,emotional_intensity_slider.stopped,familiar_text.started,familiarity_slider.started,familiar_text.stopped,familiarity_slider.stopped,emo_express_text.started,emotion_express_slider.started,emo_express_text.stopped,trial.stopped,valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,emotional_intensity_slider.response,emotional_intensity_slider.rt,familiarity_slider.response,familiarity_slider.rt,emotion_express_slider.response,emotion_express_slider.rt,end.started,text_2.started,text_2.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.010252700000137338,0.012791100000185907,0.012791100000185907,35.483237300000155,space,35.45286349999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546131,001,2024-08-03_10h06.54.866,2nd_exp,2024.1.5,None,2024-08-03 10h07.03.573045 +0530,
images/4n.tiff,0,0,0,2,35.69966850000014,,,,,,,,,35.49159880000002,35.69966850000014,35.69966850000014,35.69966850000014,47.38796380000008,47.38796380000008,47.38796380000008,47.38796380000008,54.53566480000018,54.53566480000018,54.53566480000018,54.53566480000018,59.60045460000015,59.60045460000015,59.60045460000015,59.60045460000015,66.7184006,66.7184006,66.7184006,66.7184006,72.29209570000012,72.12769120000007,4.0,11.83437989999993,4.0,18.92843340000013,6.0,23.967287800000122,3.0,31.055622099999937,3.0,36.44234940000001,,,,,546131,001,2024-08-03_10h06.54.866,2nd_exp,2024.1.5,None,2024-08-03 10h07.03.573045 +0530,
images/18n.tiff,0,1,1,11,72.29209570000012,,,,,,,,,72.12874750000015,72.29209570000012,72.29209570000012,72.29209570000012,82.49334920000001,82.49334920000001,82.49334920000001,82.49334920000001,93.33937180000021,93.33937180000021,93.33937180000021,93.33937180000021,95.95547850000003,95.95547850000003,95.95547850000003,95.95547850000003,112.41930260000004,112.41930260000004,112.41930260000004,112.41930260000004,123.11782760000006,122.96063620000018,3.0,10.302976899999976,5.0,21.10652950000008,5.0,23.69980429999987,3.0,40.1426421000001,2.0,50.66699700000004,,,,,546131,001,2024-08-03_10h06.54.866,2nd_exp,2024.1.5,None,2024-08-03 10h07.03.573045 +0530,
images/4.tiff,0,2,2,0,123.11782760000006,,,,,,,,,122.96111710000014,123.11782760000006,123.11782760000006,123.11782760000006,131.7103575000001,131.7103575000001,131.7103575000001,131.7103575000001,134.7094559000002,134.7094559000002,134.7094559000002,134.7094559000002,160.81763390000015,160.81763390000015,160.81763390000015,160.81763390000015,171.00024040000017,171.00024040000017,171.00024040000017,171.00024040000017,173.72539310000002,173.56150230000003,2.0,8.691673600000058,6.0,11.654619400000001,6.0,37.737705200000164,6.0,47.89882740000007,2.0,50.44186879999984,,,,,546131,001,2024-08-03_10h06.54.866,2nd_exp,2024.1.5,None,2024-08-03 10h07.03.573045 +0530,
images/5.tiff,0,3,3,3,173.72539310000002,,,,,,,,,173.5622128,173.72539310000002,173.72539310000002,173.72539310000002,179.96133600000007,179.96133600000007,179.96133600000007,179.96133600000007,182.7105422000002,182.7105422000002,182.7105422000002,182.7105422000002,185.74274910000008,185.74274910000008,185.74274910000008,185.74274910000008,189.8278769000001,189.8278769000001,189.8278769000001,189.8278769000001,192.77886460000013,192.62203990000012,2.0,6.337140399999953,6.0,9.04753770000002,5.0,12.05487220000009,5.0,16.118108900000152,2.0,18.89506110000002,,,,,546131,001,2024-08-03_10h06.54.866,2nd_exp,2024.1.5,None,2024-08-03 10h07.03.573045 +0530,
images/18h.tiff,0,4,4,10,192.77886460000013,,,,,,,,,192.62275020000016,192.77886460000013,192.77886460000013,192.77886460000013,197.2889224999999,197.2889224999999,197.2889224999999,197.2889224999999,201.7541583000002,201.7541583000002,201.7541583000002,201.7541583000002,205.06944030000022,205.06944030000022,205.06944030000022,205.06944030000022,206.68849520000003,206.68849520000003,206.68849520000003,206.68849520000003,209.1214705000002,208.9330640000003,6.0,4.607831599999827,6.0,9.037617299999965,6.0,12.328716699999859,6.0,13.92498670000009,1.0,16.15270109999983,,,,,546131,001,2024-08-03_10h06.54.866,2nd_exp,2024.1.5,None,2024-08-03 10h07.03.573045 +0530,
images/10h.tiff,0,5,5,7,209.1214705000002,,,,,,,,,208.93375070000002,209.1214705000002,209.1214705000002,209.1214705000002,212.95047520000026,212.95047520000026,212.95047520000026,212.95047520000026,218.41537960000005,218.41537960000005,218.41537960000005,218.41537960000005,219.64839669999992,219.64839669999992,219.64839669999992,219.64839669999992,220.55100300000004,220.55100300000004,220.55100300000004,220.55100300000004,223.2315908999999,223.07855500000005,6.0,3.935002700000041,6.0,9.356114599999728,6.0,10.564496399999825,6.0,11.44473939999989,1.0,13.955323900000167,,,,,546131,001,2024-08-03_10h06.54.866,2nd_exp,2024.1.5,None,2024-08-03 10h07.03.573045 +0530,
images/5n.tiff,0,6,6,5,223.2315908999999,,,,,,,,,223.07924290000028,223.2315908999999,223.2315908999999,223.2315908999999,227.2458445000002,227.2458445000002,227.2458445000002,227.2458445000002,229.59504070000003,229.59504070000003,229.59504070000003,229.59504070000003,236.07639990000007,236.07639990000007,236.07639990000007,236.07639990000007,239.07697989999997,239.07697989999997,239.07697989999997,239.07697989999997,242.18476420000025,242.0223331000002,4.0,4.111648499999774,4.0,6.425870799999757,6.0,12.88212969999995,5.0,15.861891000000014,3.0,18.789189299999634,,,,,546131,001,2024-08-03_10h06.54.866,2nd_exp,2024.1.5,None,2024-08-03 10h07.03.573045 +0530,
images/10.tiff,0,7,7,6,242.18476420000025,,,,,,,,,242.0230177000003,242.18476420000025,242.18476420000025,242.18476420000025,245.34005070000012,245.34005070000012,245.34005070000012,245.34005070000012,249.52196920000006,249.52196920000006,249.52196920000006,249.52196920000006,257.3526852,257.3526852,257.3526852,257.3526852,259.0520612,259.0520612,259.0520612,259.0520612,261.0098001000001,260.8573140000003,2.0,3.25486520000004,5.0,7.3987333000000035,5.0,15.20501970000032,5.0,16.882549299999937,2.0,18.676799200000005,,,,,546131,001,2024-08-03_10h06.54.866,2nd_exp,2024.1.5,None,2024-08-03 10h07.03.573045 +0530,
images/10n.tiff,0,8,8,8,261.0098001000001,,,,,,,,,260.85758780000015,261.0098001000001,261.0098001000001,261.0098001000001,264.68351970000003,264.68351970000003,264.68351970000003,264.68351970000003,268.16567440000017,268.16567440000017,268.16567440000017,268.16567440000017,271.79785470000024,271.79785470000024,271.79785470000024,271.79785470000024,274.49691470000016,274.49691470000016,274.49691470000016,274.49691470000016,283.83038320000014,283.67516090000026,2.0,3.7739363000000594,5.0,7.217642000000069,5.0,10.824411500000224,4.0,13.504112300000088,4.0,22.664122199999838,,,,,546131,001,2024-08-03_10h06.54.866,2nd_exp,2024.1.5,None,2024-08-03 10h07.03.573045 +0530,
images/4h.tiff,0,9,9,1,283.83038320000014,,,,,,,,,283.67583920000015,283.83038320000014,283.83038320000014,283.83038320000014,287.32612130000007,287.32612130000007,287.32612130000007,287.32612130000007,289.0922212999999,289.0922212999999,289.0922212999999,289.0922212999999,291.3582025999999,291.3582025999999,291.3582025999999,291.3582025999999,292.5101896000001,292.5101896000001,292.5101896000001,292.5101896000001,294.8069349000002,294.6549315000002,6.0,3.593148800000108,6.0,5.321576299999833,6.0,7.5646772999998575,6.0,8.695190000000366,1.0,10.82300770000029,,,,,546131,001,2024-08-03_10h06.54.866,2nd_exp,2024.1.5,None,2024-08-03 10h07.03.573045 +0530,
images/5h.tiff,0,10,10,4,294.8069349000002,,,,,,,,,294.6556135999999,294.8069349000002,294.8069349000002,294.8069349000002,298.5392001,298.5392001,298.5392001,298.5392001,300.38863760000004,300.38863760000004,300.38863760000004,300.38863760000004,301.98811479999995,301.98811479999995,301.98811479999995,301.98811479999995,303.8734008000001,303.8734008000001,303.8734008000001,303.8734008000001,306.4218033000002,306.26796860000013,7.0,3.8275594000001547,7.0,5.641958599999725,7.0,7.217064299999947,7.0,9.081152900000234,4.0,11.458611999999903,,,,,546131,001,2024-08-03_10h06.54.866,2nd_exp,2024.1.5,None,2024-08-03 10h07.03.573045 +0530,
images/18.tiff,0,11,11,9,306.4218033000002,,,,,,,,,306.2686517000002,306.4218033000002,306.4218033000002,306.4218033000002,312.6012691000001,312.6012691000001,312.6012691000001,312.6012691000001,315.6502131000002,315.6502131000002,315.6502131000002,315.6502131000002,317.74950960000024,317.74950960000024,317.74950960000024,317.74950960000024,319.7521738999999,319.7521738999999,319.7521738999999,319.7521738999999,321.7025195000001,321.69612860000007,2.0,6.275729800000136,6.0,9.28943049999998,6.0,11.364033800000016,2.0,13.344789799999944,2.0,15.272349400000166,,,,,546131,001,2024-08-03_10h06.54.866,2nd_exp,2024.1.5,None,2024-08-03 10h07.03.573045 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.69671659999995,321.7025195000001,329.71239990000004,329.6968601000003,546131,001,2024-08-03_10h06.54.866,2nd_exp,2024.1.5,None,2024-08-03 10h07.03.573045 +0530,
